성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
2020.04,나. 섬유사,141,"1,748",,
2020.04,다. 직 물,776,"5,925",,
2020.04,라. 기타 섬유제품,766,"6,207",,
2020.04,마. 의 류,123,"2,136",,
2020.04,바. 목제품,297,"3,952",,
2020.04,"사. 가죽, 고무 및 신발류","2,606","53,441",,
2020.04,아. 귀금속 및 보석류,6,19,,
2020.04,자. 기타 비금속 광물제품,228,"4,841",,
2020.04,"차. 완구, 운동용구 및 악기",204,877,,
2020.04,카. 기 타,"2,709","42,304",,
2020.04,4. 중화학 공업품,"39,468","1,933,685",,
2020.04,가. 화공품,"2,823","43,767",,
2020.04,나. 철강제품,"8,375","223,447",,
2020.04,다. 기계류와 정밀기기,"17,118","775,770",,
2020.04,"라. 전기, 전자제품","6,750","229,318",,
2020.04,마. 수송장비,"3,876","626,978",,
2020.04,바. 기 타,526,"34,405",,
총계,,"46,083","2,565,438",,
2020.05,1. 식료 및 직접소비재,"2,837","80,179",,
2020.05,2. 원료 및 연료,507,"16,204",,
2020.05,3. 경공업품,"6,859","95,948",,
2020.05,가. 섬유원료,43,"1,292",,
2020.05,나. 섬유사,128,"1,026",,
2020.05,다. 직 물,700,"5,128",,
2020.05,라. 기타 섬유제품,646,"5,187",,
2020.05,마. 의 류,102,"1,501",,
2020.05,바. 목제품,155,"1,266",,
2020.05,"사. 가죽, 고무 및 신발류","2,243","43,867",,
2020.05,아. 귀금속 및 보석류,5,65,,
2020.05,자. 기타 비금속 광물제품,198,"4,482",,
2020.05,"차. 완구, 운동용구 및 악기",392,931,,
2020.05,카. 기 타,"2,247","31,205",,
2020.05,4. 중화학 공업품,"35,880","2,373,107",,
2020.05,가. 화공품,"2,275","36,053",,
2020.05,나. 철강제품,"7,593","220,403",,
2020.05,다. 기계류와 정밀기기,"15,295","919,194",,
2020.05,"라. 전기, 전자제품","6,999","208,412",,
2020.05,마. 수송장비,"3,097","891,339",,
2020.05,바. 기 타,621,"97,706",,
총계,,"56,649","2,973,775",,
2020.06,1. 식료 및 직접소비재,"2,696","78,823",,
2020.06,2. 원료 및 연료,722,"17,407",,
2020.06,3. 경공업품,"8,809","140,142",,
2020.06,가. 섬유원료,91,"2,986",,
2020.06,나. 섬유사,184,"1,613",,
2020.06,다. 직 물,803,"6,135",,
2020.06,라. 기타 섬유제품,852,"6,911",,
2020.06,마. 의 류,156,"2,395",,
2020.06,바. 목제품,199,"2,931",,
2020.06,"사. 가죽, 고무 및 신발류","2,917","73,117",,
2020.06,아. 귀금속 및 보석류,12,150,,
2020.06,자. 기타 비금속 광물제품,222,"3,844",,
2020.06,"차. 완구, 운동용구 및 악기",568,931,,
2020.06,카. 기 타,"2,805","39,131",,
