성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
2020.04,1. 식료 및 직접소비재,"1,107","33,367",,
2020.04,2. 원료 및 연료,229,"14,993",,
2020.04,3. 경공업품,"4,351","79,406",,
2020.04,가. 섬유원료,6,168,,
2020.04,나. 섬유사,36,900,,
2020.04,다. 직 물,97,"2,333",,
2020.04,라. 기타 섬유제품,279,"6,438",,
2020.04,마. 의 류,366,397,,
2020.04,바. 목제품,133,"1,739",,
2020.04,"사. 가죽, 고무 및 신발류",232,"3,667",,
2020.04,아. 귀금속 및 보석류,75,"1,440",,
2020.04,자. 기타 비금속 광물제품,248,"18,272",,
2020.04,"차. 완구, 운동용구 및 악기",41,"2,222",,
2020.04,카. 기 타,"2,838","41,829",,
2020.04,4. 중화학 공업품,"22,935","1,694,516",,
2020.04,가. 화공품,"6,208","344,478",,
2020.04,나. 철강제품,"3,450","73,461",,
2020.04,다. 기계류와 정밀기기,"3,513","175,335",,
2020.04,"라. 전기, 전자제품","8,487","1,057,131",,
2020.04,마. 수송장비,549,"22,532",,
2020.04,바. 기 타,728,"21,579",,
총계,,"26,923","1,945,177",,
2020.05,1. 식료 및 직접소비재,"1,106","36,583",,
2020.05,2. 원료 및 연료,211,"14,698",,
2020.05,3. 경공업품,"4,169","64,935",,
2020.05,가. 섬유원료,12,149,,
2020.05,나. 섬유사,53,"1,226",,
2020.05,다. 직 물,77,"1,396",,
2020.05,라. 기타 섬유제품,230,"5,648",,
2020.05,마. 의 류,539,272,,
2020.05,바. 목제품,181,"3,344",,
2020.05,"사. 가죽, 고무 및 신발류",204,"2,998",,
2020.05,아. 귀금속 및 보석류,47,577,,
2020.05,자. 기타 비금속 광물제품,212,"12,784",,
2020.05,"차. 완구, 운동용구 및 악기",44,"1,540",,
2020.05,카. 기 타,"2,570","35,002",,
2020.05,4. 중화학 공업품,"21,437","1,828,961",,
2020.05,가. 화공품,"5,442","354,074",,
2020.05,나. 철강제품,"2,951","64,186",,
2020.05,다. 기계류와 정밀기기,"3,049","234,431",,
2020.05,"라. 전기, 전자제품","8,338","1,143,068",,
2020.05,마. 수송장비,420,"10,940",,
2020.05,바. 기 타,"1,237","22,262",,
총계,,"29,985","1,861,786",,
2020.06,1. 식료 및 직접소비재,"1,551","38,525",,
2020.06,2. 원료 및 연료,261,"12,850",,
2020.06,3. 경공업품,"4,644","65,614",,
2020.06,가. 섬유원료,7,136,,
2020.06,나. 섬유사,71,"1,492",,
2020.06,다. 직 물,73,"1,410",,
2020.06,라. 기타 섬유제품,262,"4,550",,
2020.06,마. 의 류,526,395,,
2020.06,바. 목제품,109,"2,372",,
2020.06,"사. 가죽, 고무 및 신발류",211,"3,668",,
2020.06,아. 귀금속 및 보석류,64,"1,106",,
2020.06,자. 기타 비금속 광물제품,268,"13,219",,
2020.06,"차. 완구, 운동용구 및 악기",71,"1,484",,
2020.06,카. 기 타,"2,982","35,783",,
