성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
2020.06,"차. 완구, 운동용구 및 악기",12,22,,
2020.06,카. 기 타,"1,294","22,111",,
2020.06,4. 중화학 공업품,"30,425","2,836,399",,
2020.06,가. 화공품,"7,604","709,429",,
2020.06,나. 철강제품,"2,920","201,583",,
2020.06,다. 기계류와 정밀기기,"3,422","194,392",,
2020.06,"라. 전기, 전자제품","1,629","132,611",,
2020.06,마. 수송장비,"14,727","1,596,957",,
2020.06,바. 기 타,123,"1,427",,
총계,,"41,786","4,609,878",,
2020.07,1. 식료 및 직접소비재,264,"13,787",,
2020.07,2. 원료 및 연료,"1,109","1,045,761",,
2020.07,3. 경공업품,"3,830","178,459",,
2020.07,가. 섬유원료,168,"12,926",,
2020.07,나. 섬유사,303,"13,680",,
2020.07,다. 직 물,130,"7,971",,
2020.07,라. 기타 섬유제품,76,585,,
2020.07,마. 의 류,30,21,,
2020.07,바. 목제품,55,"1,317",,
2020.07,"사. 가죽, 고무 및 신발류","1,018","1,535",,
2020.07,아. 귀금속 및 보석류,116,"113,795",,
2020.07,자. 기타 비금속 광물제품,163,527,,
2020.07,"차. 완구, 운동용구 및 악기",20,65,,
2020.07,카. 기 타,"1,751","26,038",,
2020.07,4. 중화학 공업품,"36,583","3,371,871",,
2020.07,가. 화공품,"8,609","757,225",,
2020.07,나. 철강제품,"3,486","255,119",,
2020.07,다. 기계류와 정밀기기,"3,956","186,713",,
2020.07,"라. 전기, 전자제품","1,888","102,071",,
2020.07,마. 수송장비,"18,527","2,069,071",,
2020.07,바. 기 타,117,"1,671",,
