성질별 수출입 실적_시도,,,,,
,,,,,
", 조회기간:201908 ~202007 성질명전체, 수출입구분:수출",,,,,
,,,"단위:천 불(USD 1,000)",,
기간,성질명,수출품목건수,수출금액,,
2020.07,나. 섬유사,153,"2,078",,
2020.07,다. 직 물,34,712,,
2020.07,라. 기타 섬유제품,172,"4,390",,
2020.07,마. 의 류,97,158,,
2020.07,바. 목제품,26,204,,
2020.07,"사. 가죽, 고무 및 신발류",150,"1,728",,
2020.07,아. 귀금속 및 보석류,0,0,,
2020.07,자. 기타 비금속 광물제품,6,7,,
2020.07,"차. 완구, 운동용구 및 악기",12,99,,
2020.07,카. 기 타,946,"31,132",,
2020.07,4. 중화학 공업품,"9,066","387,520",,
2020.07,가. 화공품,"1,375","53,219",,
2020.07,나. 철강제품,744,"5,918",,
2020.07,다. 기계류와 정밀기기,"2,128","101,370",,
2020.07,"라. 전기, 전자제품","3,156","129,540",,
2020.07,마. 수송장비,799,"26,720",,
2020.07,바. 기 타,864,"70,754",,
