성질별 국가별 수출입실적,,,,,
,,,,,
"통계구분:수리일기준,조회기간:201908 ~202007 ,성질명:전체,수출입구분:수출,국가:[중국]",,,,,
,,,,,"단위:천 불(USD 1,000) / 톤(TON)"
기간,수출입구분,국가명,성질명,중량,금액
2020.03,수출,중국,가. 화공품,"1,381,165.4","1,816,993"
2020.03,수출,중국,나. 철강제품,"306,456.9","479,669"
2020.03,수출,중국,다. 기계류와 정밀기기,"72,621.7","1,655,633"
2020.03,수출,중국,"라. 전기, 전자제품","26,361.9","4,904,278"
2020.03,수출,중국,마. 수송장비,"15,632.8","124,952"
2020.03,수출,중국,바. 기 타,"29,886.0","488,337"
2020.04,수출,중국,1. 식료 및 직접소비재,"42,933.3","117,770"
2020.04,수출,중국,2. 원료 및 연료,"2,096,773.3","684,026"
2020.04,수출,중국,3. 경공업품,"288,498.5","398,860"
2020.04,수출,중국,가. 섬유원료,"16,459.8","26,275"
2020.04,수출,중국,나. 섬유사,"1,793.3","12,996"
2020.04,수출,중국,다. 직 물,"2,771.0","37,153"
2020.04,수출,중국,라. 기타 섬유제품,"1,962.1","20,734"
2020.04,수출,중국,마. 의 류,"1,649.1","21,679"
2020.04,수출,중국,바. 목제품,"1,445.4","19,551"
2020.04,수출,중국,"사. 가죽, 고무 및 신발류","2,580.2","30,903"
2020.04,수출,중국,아. 귀금속 및 보석류,169.3,"17,321"
2020.04,수출,중국,자. 기타 비금속 광물제품,"147,640.9","67,905"
2020.04,수출,중국,"차. 완구, 운동용구 및 악기","1,265.8","3,037"
2020.04,수출,중국,카. 기 타,"110,761.6","141,307"
2020.04,수출,중국,4. 중화학 공업품,"2,077,570.6","8,950,838"
2020.04,수출,중국,가. 화공품,"1,605,978.0","1,699,137"
2020.04,수출,중국,나. 철강제품,"327,973.2","455,027"
2020.04,수출,중국,다. 기계류와 정밀기기,"82,669.1","1,685,106"
2020.04,수출,중국,"라. 전기, 전자제품","22,375.0","4,634,188"
2020.04,수출,중국,마. 수송장비,"19,225.9","122,417"
2020.04,수출,중국,바. 기 타,"19,349.4","354,963"
2020.05,수출,중국,1. 식료 및 직접소비재,"44,738.0","112,082"
2020.05,수출,중국,2. 원료 및 연료,"1,743,569.8","676,721"
2020.05,수출,중국,3. 경공업품,"345,401.6","347,514"
2020.05,수출,중국,가. 섬유원료,"8,797.4","17,111"
2020.05,수출,중국,나. 섬유사,"1,659.9","12,255"
2020.05,수출,중국,다. 직 물,"2,305.0","28,801"
2020.05,수출,중국,라. 기타 섬유제품,"1,511.4","18,431"
2020.05,수출,중국,마. 의 류,"1,493.6","19,199"
2020.05,수출,중국,바. 목제품,"1,655.7","20,017"
2020.05,수출,중국,"사. 가죽, 고무 및 신발류","2,038.0","27,222"
2020.05,수출,중국,아. 귀금속 및 보석류,72.8,"8,431"
2020.05,수출,중국,자. 기타 비금속 광물제품,"225,864.1","65,877"
2020.05,수출,중국,"차. 완구, 운동용구 및 악기",770.0,"3,624"
2020.05,수출,중국,카. 기 타,"99,233.8","126,546"
2020.05,수출,중국,4. 중화학 공업품,"2,568,737.8","9,607,418"
2020.05,수출,중국,가. 화공품,"1,793,421.6","1,736,245"
2020.05,수출,중국,나. 철강제품,"638,500.9","609,265"
